Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,,
2015-01-01,970.3306274414062,1272.7750244140625,1283.5,1270.5,1283.5,366830
2015-01-02,983.2526245117188,1289.7249755859375,1295.4749755859375,1275.300048828125,1275.5,925740
2015-01-05,968.3097534179688,1270.125,1299.949951171875,1262.324951171875,1290.5,1754242
2015-01-06,932.6119995117188,1223.300048828125,1264.550048828125,1220.0,1264.550048828125,2423784
2015-01-07,921.5957641601562,1208.8499755859375,1239.574951171875,1203.7249755859375,1235.0,2636332
2015-01-08,931.5445556640625,1221.9000244140625,1224.5,1210.2750244140625,1221.199951171875,1565408
2015-01-09,957.6558837890625,1256.1500244140625,1259.949951171875,1225.0,1227.5,3197642
2015-01-12,956.6650390625,1254.8499755859375,1264.0,1240.125,1258.5,1596006
2015-01-13,952.1671142578125,1248.949951171875,1265.199951171875,1240.050048828125,1260.0,1468432
2015-01-14,961.3346557617188,1260.9749755859375,1265.9000244140625,1250.25,1258.0,1787096
2015-01-15,967.8717041015625,1269.550048828125,1290.875,1261.625,1266.5,5009920
2015-01-16,965.222412109375,1266.074951171875,1272.5,1242.1500244140625,1271.8499755859375,5293830
2015-01-19,957.1605224609375,1255.5,1275.5,1251.5,1268.0,1135074
2015-01-20,953.138916015625,1250.2249755859375,1265.0,1241.625,1260.0,2058566
2015-01-21,958.2280883789062,1256.9000244140625,1261.0,1244.125,1261.0,2310480
2015-01-22,958.1326293945312,1256.7750244140625,1260.625,1247.75,1258.25,2113214
2015-01-23,954.3400268554688,1251.800048828125,1266.0250244140625,1248.050048828125,1257.0,3150380
2015-01-27,955.65771484375,1251.0250244140625,1257.5,1244.7750244140625,1256.175048828125,2738736
2015-01-28,969.9994506835938,1269.800048828125,1272.449951171875,1251.449951171875,1251.5,3121980
2015-01-29,971.928466796875,1272.324951171875,1284.3499755859375,1256.449951171875,1269.0,3734392
2015-01-30,948.0186157226562,1241.0250244140625,1287.5,1235.0,1280.3499755859375,5817402
2015-02-02,960.2984619140625,1257.0999755859375,1260.7249755859375,1231.0250244140625,1241.0,3181802
2015-02-03,977.1229858398438,1279.125,1282.5,1253.550048828125,1255.824951171875,2345054
2015-02-04,960.3365478515625,1257.1500244140625,1285.8499755859375,1251.050048828125,1284.0,2245418
2015-02-05,974.8882446289062,1276.199951171875,1295.8499755859375,1259.5,1260.0,4530168
2015-02-06,983.8073120117188,1287.875,1297.4000244140625,1275.425048828125,1276.5,2136416
2015-02-09,959.8018188476562,1256.449951171875,1284.550048828125,1250.0,1280.75,2076432
2015-02-10,932.3966064453125,1220.574951171875,1263.125,1216.5,1255.0,3799054
2015-02-11,939.5582275390625,1229.949951171875,1243.625,1223.625,1227.5250244140625,2937522
2015-02-12,940.4174194335938,1231.074951171875,1239.9000244140625,1223.5,1239.9000244140625,3107980
2015-02-13,969.6752319335938,1269.375,1273.875,1230.125,1235.0,4158326
2015-02-16,987.2637939453125,1292.4000244140625,1297.5,1277.5,1280.0,2364392
2015-02-18,1006.6859130859375,1317.824951171875,1321.5,1282.625,1292.5250244140625,2660014
2015-02-19,1024.026611328125,1340.5250244140625,1343.6500244140625,1317.5,1318.0,2618002
2015-02-20,1021.9255981445312,1337.7750244140625,1349.4000244140625,1321.125,1349.4000244140625,1801588
2015-02-23,1029.984619140625,1348.324951171875,1361.0,1335.5,1335.5,1614892
2015-02-24,1033.0787353515625,1352.375,1365.0,1339.5,1347.0,2199922
2015-02-25,1020.6458129882812,1336.0999755859375,1361.0,1333.925048828125,1355.0,1767994
2015-02-26,1014.6304931640625,1328.2249755859375,1346.375,1312.675048828125,1339.5,1991994
2015-02-27,1016.884033203125,1331.175048828125,1337.875,1308.1500244140625,1329.7249755859375,2877376
2015-03-02,1019.5765380859375,1334.699951171875,1354.4749755859375,1326.2750244140625,1339.8499755859375,2176038
2015-03-03,1060.2926025390625,1388.0,1395.0,1338.074951171875,1341.0,3424308
2015-03-04,1048.833740234375,1373.0,1406.050048828125,1357.824951171875,1394.0,3862994
2015-03-05,1029.9088134765625,1348.2249755859375,1385.3499755859375,1340.5250244140625,1375.0,2173514
2015-03-09,1010.9448852539062,1323.4000244140625,1339.9000244140625,1305.0,1320.0,2883174
2015-03-10,1009.37890625,1321.3499755859375,1339.125,1297.625,1324.449951171875,3037052
2015-03-11,995.5714111328125,1303.2750244140625,1329.9749755859375,1298.9000244140625,1321.0,2240200
2015-03-12,1000.345458984375,1309.5250244140625,1312.449951171875,1295.050048828125,1311.949951171875,1827636
2015-03-13,986.3284301757812,1291.175048828125,1319.9749755859375,1287.5,1319.0,1586838
2015-03-16,978.6697998046875,1281.1500244140625,1305.0,1276.0,1292.5999755859375,1556296
2015-03-17,986.843505859375,1291.8499755859375,1303.3499755859375,1278.875,1291.25,1267318
2015-03-18,977.5432739257812,1279.675048828125,1299.7249755859375,1275.8499755859375,1295.4749755859375,1255170
2015-03-19,991.6370239257812,1298.125,1302.925048828125,1284.050048828125,1288.0,2448964
2015-03-20,997.2518920898438,1305.4749755859375,1309.0,1289.425048828125,1298.0,1963908
2015-03-23,999.6199951171875,1308.574951171875,1315.5,1303.0,1308.0,1566608
2015-03-24,989.7461547851562,1295.6500244140625,1318.5,1291.050048828125,1315.0,2394878
2015-03-25,983.0435791015625,1286.875,1307.0,1272.5999755859375,1295.699951171875,2224858
2015-03-26,959.8779296875,1256.550048828125,1293.3499755859375,1250.5,1276.6500244140625,3091642
2015-03-27,960.5272216796875,1257.4000244140625,1285.949951171875,1252.050048828125,1265.5,2751776
2015-03-30,979.3765258789062,1282.074951171875,1284.949951171875,1260.0,1262.5,1339006
2015-03-31,975.480712890625,1276.9749755859375,1284.7249755859375,1260.5,1284.7249755859375,2427028
2015-04-01,971.1647338867188,1271.324951171875,1281.800048828125,1261.125,1279.0,2075758
2015-04-06,972.9408569335938,1273.6500244140625,1281.449951171875,1250.050048828125,1279.0,1568542
2015-04-07,987.3399658203125,1292.5,1299.5,1272.0,1281.2249755859375,1886922
2015-04-08,1008.8819580078125,1320.699951171875,1328.25,1295.425048828125,1297.0,1652134
2015-04-09,1017.7242431640625,1332.2750244140625,1343.7249755859375,1317.574951171875,1329.5,2544450
2015-04-10,1013.59912109375,1326.875,1335.4000244140625,1314.0,1324.25,1815544
2015-04-13,1014.2676391601562,1327.75,1332.5,1314.0,1332.0,1308642
2015-04-15,1003.6685791015625,1313.875,1356.949951171875,1304.699951171875,1327.3499755859375,2913934
2015-04-16,986.4998168945312,1291.4000244140625,1313.5,1285.675048828125,1313.4749755859375,3217570
2015-04-17,945.2684936523438,1237.425048828125,1280.0,1235.0,1278.550048828125,9668742
2015-04-20,927.6796875,1214.4000244140625,1241.949951171875,1212.425048828125,1240.0250244140625,2890722
2015-04-21,927.0111694335938,1213.5250244140625,1226.0,1200.5,1214.4000244140625,2546032
2015-04-22,933.905517578125,1222.550048828125,1236.5,1203.7750244140625,1215.75,4186812
2015-04-23,938.5465087890625,1228.625,1239.9000244140625,1215.8499755859375,1236.0,4342990
2015-04-24,952.2197265625,1246.5250244140625,1257.0,1223.7750244140625,1227.6500244140625,3625158
2015-04-27,954.9508056640625,1250.0999755859375,1260.0,1243.0,1249.75,2733052
2015-04-28,952.9646606445312,1247.5,1255.0,1227.550048828125,1255.0,3088298
2015-04-29,950.0234375,1243.6500244140625,1247.5,1225.5250244140625,1242.0,2019620
2015-04-30,941.009521484375,1231.8499755859375,1245.0,1213.550048828125,1240.0,3738054
2015-05-04,947.8276977539062,1240.7750244140625,1252.4000244140625,1228.5999755859375,1245.5,1890630
2015-05-05,961.6920776367188,1258.925048828125,1268.2249755859375,1250.0,1250.5,3255070
2015-05-06,940.7612915039062,1231.5250244140625,1257.5,1227.9000244140625,1257.5,3394406
2015-05-07,972.1573486328125,1272.625,1276.875,1226.8499755859375,1232.449951171875,3205028
2015-05-08,965.282958984375,1263.625,1294.0,1258.1500244140625,1280.0,3003664
2015-05-11,976.263671875,1278.0,1281.5250244140625,1262.5,1267.5,2573082
2015-05-12,963.6209106445312,1261.449951171875,1282.5,1256.5,1280.0,2467386
2015-05-13,960.7565307617188,1257.699951171875,1273.5,1240.2249755859375,1273.5,1863774
2015-05-14,954.5880126953125,1249.625,1260.0,1242.5,1260.0,1309050
2015-05-15,959.1331787109375,1255.574951171875,1266.199951171875,1250.5,1257.5,1461454
2015-05-18,962.6664428710938,1260.199951171875,1262.625,1248.550048828125,1257.050048828125,4507752
2015-05-19,959.7254028320312,1256.3499755859375,1265.0,1248.375,1259.699951171875,1957722
2015-05-20,976.6644897460938,1278.5250244140625,1284.949951171875,1258.449951171875,1260.0,1897814
2015-05-21,976.0725708007812,1277.75,1290.0,1274.074951171875,1278.5,1579578
2015-05-22,999.906494140625,1308.949951171875,1314.375,1269.625,1275.0,2691632
2015-05-25,993.451416015625,1300.5,1318.449951171875,1292.8499755859375,1310.0,982978
2015-05-26,996.4493408203125,1304.425048828125,1311.625,1294.449951171875,1302.5,1961740
2015-05-27,998.8941040039062,1307.625,1316.574951171875,1296.0,1304.0,1620690
2015-05-28,996.697998046875,1304.75,1311.5,1291.125,1301.949951171875,2763608
